time,n_infected,prop_ever_infected,prop_currently_infected,n_recovered,prop_recovered,b_cxn_peers,b_cxn_total,b_cxn_symp,iter
37.0,1.0,0.009771986970684038,0.0016286644951140066,5.0,0.8333333333333334,-0.5,-5.0,-1.5,1
38.0,2.0,0.011400651465798045,0.003257328990228013,5.0,0.7142857142857143,-0.5,-5.0,-1.5,1
39.0,3.0,0.013029315960912053,0.004885993485342019,5.0,0.625,-0.5,-5.0,-1.5,1
40.0,3.0,0.013029315960912053,0.004885993485342019,5.0,0.625,-0.5,-5.0,-1.5,1
41.0,3.0,0.013029315960912053,0.004885993485342019,5.0,0.625,-0.5,-5.0,-1.5,1
42.0,3.0,0.013029315960912053,0.004885993485342019,5.0,0.625,-0.5,-5.0,-1.5,1
43.0,2.0,0.013029315960912053,0.003257328990228013,6.0,0.75,-0.5,-5.0,-1.5,1
44.0,2.0,0.013029315960912053,0.003257328990228013,6.0,0.75,-0.5,-5.0,-1.5,1
45.0,4.0,0.016286644951140065,0.006514657980456026,6.0,0.6,-0.5,-5.0,-1.5,1
46.0,4.0,0.016286644951140065,0.006514657980456026,6.0,0.6,-0.5,-5.0,-1.5,1
47.0,4.0,0.016286644951140065,0.006514657980456026,6.0,0.6,-0.5,-5.0,-1.5,1
48.0,4.0,0.016286644951140065,0.006514657980456026,6.0,0.6,-0.5,-5.0,-1.5,1
49.0,5.0,0.017915309446254073,0.008143322475570033,6.0,0.5454545454545454,-0.5,-5.0,-1.5,1
50.0,5.0,0.017915309446254073,0.008143322475570033,6.0,0.5454545454545454,-0.5,-5.0,-1.5,1
51.0,5.0,0.017915309446254073,0.008143322475570033,6.0,0.5454545454545454,-0.5,-5.0,-1.5,1
52.0,4.0,0.017915309446254073,0.006514657980456026,7.0,0.6363636363636364,-0.5,-5.0,-1.5,1
53.0,3.0,0.017915309446254073,0.004885993485342019,8.0,0.7272727272727273,-0.5,-5.0,-1.5,1
54.0,5.0,0.021172638436482084,0.008143322475570033,8.0,0.6153846153846154,-0.5,-5.0,-1.5,1
